File: trkwebctrl
Build ID: 2a6e97ebd0584c23046de2e113885e697b606e55
Type: cpu
Time: Aug 14, 2023 at 6:06pm (MSK)
Duration: 600.11s, Total samples = 2396.06s (399.27%)
Showing nodes accounting for 1708.32s, 71.30% of 2396.06s total
Dropped 1733 nodes (cum <= 11.98s)
      flat  flat%   sum%        cum   cum%
   340.75s 14.22% 14.22%    340.75s 14.22%  runtime/internal/syscall.Syscall6
   156.32s  6.52% 20.75%    232.87s  9.72%  encoding/json.compact
    80.15s  3.35% 24.09%        89s  3.71%  runtime.findObject
    70.12s  2.93% 27.02%    174.49s  7.28%  runtime.pcvalue
    66.24s  2.76% 29.78%     66.24s  2.76%  runtime.memmove
    65.73s  2.74% 32.52%     66.90s  2.79%  github.com/mr-tron/base58/base58.FastBase58EncodingAlphabet
    63.22s  2.64% 35.16%     79.08s  3.30%  runtime.step
    53.51s  2.23% 37.40%     55.98s  2.34%  encoding/json.stateInString
    51.55s  2.15% 39.55%    234.05s  9.77%  runtime.gentraceback
    49.76s  2.08% 41.62%     59.31s  2.48%  github.com/json-iterator/go.writeStringSlowPathWithHTMLEscaped
    44.70s  1.87% 43.49%    224.54s  9.37%  runtime.mallocgc
    42.70s  1.78% 45.27%     51.99s  2.17%  runtime.heapBitsSetType
    39.27s  1.64% 46.91%     39.27s  1.64%  runtime.memclrNoHeapPointers
    37.37s  1.56% 48.47%    201.91s  8.43%  runtime.scanobject
    30.35s  1.27% 49.74%     30.35s  1.27%  runtime.heapBits.bits (inline)
    27.19s  1.13% 50.87%     27.19s  1.13%  runtime.nextFreeFast (inline)
    26.25s  1.10% 51.97%     26.25s  1.10%  runtime.markBits.isMarked (inline)
    18.63s  0.78% 52.75%     39.86s  1.66%  compress/flate.(*compressor).deflate
    17.94s  0.75% 53.49%     17.94s  0.75%  runtime.futex
    17.63s  0.74% 54.23%     17.63s  0.74%  runtime.(*moduledata).textAddr
    17.35s  0.72% 54.95%     18.86s  0.79%  runtime.findfunc
    16.37s  0.68% 55.64%     16.37s  0.68%  runtime.epollwait
    16.34s  0.68% 56.32%     27.39s  1.14%  runtime.mapaccess1_faststr
