File: trkwebctrl
Build ID: eb53bae02d1c0cebf181d6aa585422bdebdd5c7b
Type: cpu
Time: Jul 11, 2023 at 12:45pm (MSK)
Duration: 250.20s, Total samples = 1114.10s (445.28%)
Showing nodes accounting for 974.50s, 87.47% of 1114.10s total
Dropped 1490 nodes (cum <= 5.57s)
      flat  flat%   sum%        cum   cum%
   478.33s 42.93% 42.93%    478.33s 42.93%  runtime/internal/syscall.Syscall6
   203.93s 18.30% 61.24%    203.93s 18.30%  hash/crc32.castagnoliSSE42Triple
   145.90s 13.10% 74.33%    145.90s 13.10%  runtime.memclrNoHeapPointers
    19.11s  1.72% 76.05%        28s  2.51%  encoding/json.compact
    16.96s  1.52% 77.57%        32s  2.87%  runtime.scanobject
    14.44s  1.30% 78.87%     14.44s  1.30%  runtime.memmove
    10.47s  0.94% 79.81%     11.85s  1.06%  github.com/syndtr/goleveldb/leveldb/util.Hash
     6.56s  0.59% 80.40%      6.69s   0.6%  encoding/json.stateInString
     6.32s  0.57% 80.96%      7.50s  0.67%  github.com/json-iterator/go.writeStringSlowPathWithHTMLEscaped
     6.22s  0.56% 81.52%     23.52s  2.11%  runtime.gentraceback
     6.13s  0.55% 82.07%      6.13s  0.55%  cmpbody
     5.73s  0.51% 82.59%      7.21s  0.65%  runtime.findObject
     5.50s  0.49% 83.08%      6.41s  0.58%  runtime.heapBitsSetType
     4.69s  0.42% 83.50%      5.86s  0.53%  runtime.step
     4.35s  0.39% 83.89%     11.94s  1.07%  runtime.pcvalue
     3.53s  0.32% 84.21%    183.65s 16.48%  runtime.mallocgc
     2.58s  0.23% 84.44%     13.73s  1.23%  github.com/syndtr/goleveldb/leveldb/table.(*blockWriter).append
     1.98s  0.18% 84.62%    210.09s 18.86%  hash/crc32.archUpdateCastagnoli
     1.84s  0.17% 84.78%    131.24s 11.78%  github.com/syndtr/goleveldb/leveldb.(*tableCompactionBuilder).run
     1.82s  0.16% 84.95%      8.27s  0.74%  github.com/syndtr/goleveldb/leveldb/table.(*blockIter).Next
     1.65s  0.15% 85.09%      9.24s  0.83%  github.com/syndtr/goleveldb/leveldb.(*iComparer).Compare
     0.98s 0.088% 85.18%      7.50s  0.67%  github.com/syndtr/goleveldb/leveldb.(*iComparer).uCompare (inline)
     0.97s 0.087% 85.27%     11.66s  1.05%  runtime.newobject
     0.92s 0.083% 85.35%      8.43s  0.76%  github.com/json-iterator/go.(*Stream).WriteStringWithHTMLEscaped
     0.87s 0.078% 85.43%     41.04s  3.68%  github.com/syndtr/goleveldb/leveldb/iterator.(*mergedIterator).Next
     0.83s 0.074% 85.50%     35.62s  3.20%  github.com/syndtr/goleveldb/leveldb/iterator.(*indexedIterator).Next
     0.73s 0.066% 85.57%     78.30s  7.03%  github.com/syndtr/goleveldb/leveldb/table.(*Writer).Append
     0.56s  0.05% 85.62%    414.77s 37.23%  github.com/syndtr/goleveldb/leveldb.(*iStorageReader).ReadAt
     0.56s  0.05% 85.67%      9.11s  0.82%  runtime.growslice
     0.54s 0.048% 85.72%    484.07s 43.45%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).find
     0.54s 0.048% 85.77%    160.64s 14.42%  github.com/syndtr/goleveldb/leveldb/util.(*BufferPool).Get
     0.52s 0.047% 85.81%     38.03s  3.41%  runtime.gcDrain
     0.49s 0.044% 85.86%    784.41s 70.41%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readRawBlock
     0.49s 0.044% 85.90%     12.61s  1.13%  github.com/syndtr/goleveldb/leveldb/table.(*filterWriter).add (inline)
     0.46s 0.041% 85.94%     79.90s  7.17%  github.com/syndtr/goleveldb/leveldb.(*tWriter).append
     0.44s 0.039% 85.98%    413.72s 37.13%  os.(*File).pread (inline)
     0.43s 0.039% 86.02%        15s  1.35%  github.com/json-iterator/go.(*structEncoder).Encode
     0.42s 0.038% 86.06%     70.24s  6.30%  runtime.systemstack
     0.41s 0.037% 86.10%     64.21s  5.76%  internal/poll.(*FD).Write
     0.41s 0.037% 86.13%    478.74s 42.97%  syscall.RawSyscall6
     0.40s 0.036% 86.17%      7.47s  0.67%  runtime.findRunnable
     0.34s 0.031% 86.20%    481.81s 43.25%  github.com/syndtr/goleveldb/leveldb/cache.(*Cache).Get
     0.34s 0.031% 86.23%     11.82s  1.06%  github.com/syndtr/goleveldb/leveldb/filter.(*bloomFilterGenerator).Add
     0.34s 0.031% 86.26%    139.04s 12.48%  runtime.memclrNoHeapPointersChunked
     0.31s 0.028% 86.29%    739.51s 66.38%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readBlock
     0.31s 0.028% 86.32%    745.36s 66.90%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readBlockCached
     0.31s 0.028% 86.34%    414.03s 37.16%  os.(*File).ReadAt
     0.28s 0.025% 86.37%     46.55s  4.18%  github.com/syndtr/goleveldb/leveldb.(*iStorageWriter).Write
     0.28s 0.025% 86.39%    210.46s 18.89%  hash/crc32.Update
     0.28s 0.025% 86.42%    162.63s 14.60%  runtime.makeslice
     0.27s 0.024% 86.44%     79.49s  7.13%  github.com/syndtr/goleveldb/leveldb.(*tableCompactionBuilder).appendKV
     0.27s 0.024% 86.47%     30.07s  2.70%  github.com/syndtr/goleveldb/leveldb/table.(*indexIter).Get
     0.27s 0.024% 86.49%      5.85s  0.53%  runtime.(*mcache).refill
     0.26s 0.023% 86.52%      9.16s  0.82%  runtime.schedule
     0.25s 0.022% 86.54%     16.67s  1.50%  github.com/json-iterator/go.(*sortKeysMapEncoder).Encode
     0.25s 0.022% 86.56%     12.12s  1.09%  github.com/syndtr/goleveldb/leveldb.iFilterGenerator.Add
     0.25s 0.022% 86.58%     46.50s  4.17%  github.com/syndtr/goleveldb/leveldb/table.(*Writer).writeBlock
     0.25s 0.022% 86.61%     70.32s  6.31%  syscall.Syscall
     0.25s 0.022% 86.63%     62.71s  5.63%  syscall.write
     0.24s 0.022% 86.65%      6.52s  0.59%  bytes.Compare (inline)
     0.24s 0.022% 86.67%      8.67s  0.78%  github.com/json-iterator/go.(*htmlEscapedStringEncoder).Encode
     0.24s 0.022% 86.69%     56.01s  5.03%  os.(*File).Write
     0.24s 0.022% 86.71%      8.04s  0.72%  sync.(*Mutex).lockSlow
     0.23s 0.021% 86.73%    492.22s 44.18%  github.com/syndtr/goleveldb/leveldb.(*DB).get
     0.23s 0.021% 86.76%    320.03s 28.73%  github.com/syndtr/goleveldb/leveldb/iterator.(*indexedIterator).setData
     0.23s 0.021% 86.78%     10.40s  0.93%  io.(*multiWriter).Write
